lambda;mu;total;avg_log_step;avg_h_step;max_log_step;max_h_step;improved;worsened;same;improved_ratio;worsened_ratio;same_ratio;worst_loss;worst_loss_n;best_gain;best_gain_n;score_avg_gain
0.3;0.0;2499999;3.487790995116398;3.2302532921013167;141;141;305222;91;2194686;0.12208884883553954;3.640001456000583e-05;0.8778747511499004;108;4941897;50;2633839;0.2575377030150812
0.3;0.01;2499999;3.487790995116398;3.2123040849216338;141;141;313107;87;2186805;0.12524285009714003;3.480001392000557e-05;0.8747223498889399;108;4941897;75;2036783;0.27548691019476407
0.3;0.02;2499999;3.487790995116398;3.193720877488351;141;140;318451;89;2181459;0.12738045095218037;3.56000142400057e-05;0.8725839490335796;108;4941897;78;824347;0.2940701176280471
0.3;0.03;2499999;3.487790995116398;3.1659972663989064;141;140;336644;86;2163269;0.13465765386306155;3.44000137600055e-05;0.8653079461231784;108;4941897;78;824347;0.3217937287174915
0.3;0.04;2499999;3.487790995116398;3.1474160589664235;141;140;341157;86;2158756;0.13646285458514185;3.44000137600055e-05;0.8635027454010982;107;4941897;79;1784859;0.34037493614997444
0.3;0.05;2499999;3.487790995116398;3.1302844521137807;141;140;345027;88;2154884;0.1380108552043421;3.520001408000563e-05;0.8619539447815779;107;4941897;80;2943135;0.3575065430026172
0.3;0.06;2499999;3.487790995116398;3.1090440436176174;141;140;351085;88;2148826;0.14043405617362248;3.520001408000563e-05;0.8595307438122975;107;4941897;80;2943135;0.3787469514987806
0.3;0.07;2499999;3.487790995116398;3.0913224365289746;141;140;354734;90;2145175;0.1418936567574627;3.600001440000576e-05;0.8580703432281372;107;4941897;80;1784859;0.3964685585874234
0.3;0.08;2499999;3.487790995116398;3.0578644231457695;141;140;362442;91;2137466;0.1449768579907432;3.640001456000583e-05;0.8549867419946968;104;3378047;80;1784859;0.4299265719706288
0.3;0.09;2499999;3.487790995116398;3.038321615328646;141;140;366849;93;2133057;0.14673965869586347;3.720001488000595e-05;0.8532231412892565;104;3378047;80;651335;0.4494693797877519
0.3;0.1;2499999;3.487790995116398;3.0203432081372834;141;139;370535;93;2129371;0.1482140592856237;3.720001488000595e-05;0.8517487406994962;104;3378047;80;601727;0.46744778697911477
0.31;0.0;2499999;3.487790995116398;3.2204956881982754;141;141;311611;94;2188294;0.12464444985777995;3.760001504000602e-05;0.8753179501271801;108;4941897;50;2633839;0.26729530691812275
0.31;0.01;2499999;3.487790995116398;3.200791680316672;141;141;327480;90;2172429;0.13099205239682096;3.600001440000576e-05;0.868971947588779;108;4941897;75;2036783;0.2869993147997259
0.31;0.02;2499999;3.487790995116398;3.1828904731561893;141;140;332419;91;2167489;0.13296765318706127;3.640001456000583e-05;0.8669959467983788;108;4941897;78;824347;0.3049005219602088
0.31;0.03;2499999;3.487790995116398;3.1592824637129855;141;140;339566;90;2160343;0.13582645433058174;3.600001440000576e-05;0.8641375456550182;108;4941897;78;824347;0.3285085314034126
0.31;0.04;2499999;3.487790995116398;3.1393744557497825;141;140;345410;88;2154501;0.13816405526562212;3.520001408000563e-05;0.8618007447202979;107;4941897;79;1784859;0.34841653936661576
0.31;0.05;2499999;3.487790995116398;3.1215584486233796;141;140;349348;91;2150560;0.13973925589570235;3.640001456000583e-05;0.8602243440897377;107;4941897;80;2943135;0.3662325464930186
0.31;0.06;2499999;3.487790995116398;3.1020032408012965;141;140;353582;91;2146326;0.14143285657314264;3.640001456000583e-05;0.8585307434122974;107;4941897;80;2943135;0.3857877543151017
0.31;0.07;2499999;3.487790995116398;3.0841316336526536;141;140;357056;93;2142850;0.14282245712898284;3.720001488000595e-05;0.8571403428561372;107;4941897;80;1784859;0.4036593614637446
0.31;0.08;2499999;3.487790995116398;3.0474668189867278;141;140;366618;93;2133288;0.14664725865890346;3.720001488000595e-05;0.8533155413262166;104;3378047;80;1784859;0.44032417612967045
0.31;0.09;2499999;3.487790995116398;3.0281260112504045;141;140;370416;95;2129488;0.1481664592665837;3.800001520000608e-05;0.8517955407182163;104;3378047;80;651335;0.4596649838659935
0.31;0.1;2499999;3.487790995116398;3.009907203962882;141;139;375007;97;2124895;0.150002860001144;3.880001552000621e-05;0.849958339983336;104;3378047;80;601727;0.4778837911535165
0.32;0.0;2499999;3.487790995116398;3.2097260838904336;141;141;325895;96;2174008;0.13035805214322085;3.8400015360006146e-05;0.8696035478414191;108;4941897;50;2633839;0.2780649112259645
0.32;0.01;2499999;3.487790995116398;3.194242077696831;141;140;331008;92;2168899;0.13240325296130118;3.680001472000589e-05;0.8675599470239788;108;4941897;75;2036783;0.29354891741956696
0.32;0.02;2499999;3.487790995116398;3.175049270019708;141;140;336872;91;2163036;0.13474885389954155;3.640001456000583e-05;0.8652147460858984;108;4941897;78;824347;0.31274172509669
0.32;0.03;2499999;3.487790995116398;3.1513432605373044;141;140;343764;93;2156142;0.137505655002262;3.720001488000595e-05;0.862457144982858;107;4941897;78;824347;0.3364477345790938
0.32;0.04;2499999;3.487790995116398;3.132884853153941;141;140;347855;91;2152053;0.13914205565682225;3.640001456000583e-05;0.8608215443286177;107;4941897;80;4519375;0.3549061419624568
0.32;0.05;2499999;3.487790995116398;3.113335245334098;141;140;352290;93;2147616;0.14091605636642254;3.720001488000595e-05;0.8590467436186975;107;4941897;80;2943135;0.3744557497822999
0.32;0.06;2499999;3.487790995116398;3.094486037794415;141;140;356318;93;2143588;0.1425272570109028;3.720001488000595e-05;0.8574355429742172;107;4941897;80;2943135;0.39330495732198295
0.32;0.07;2499999;3.487790995116398;3.075412030164812;141;140;360453;95;2139451;0.14418125767250306;3.800001520000608e-05;0.855780742312297;104;3378047;80;1784859;0.412378964951586
0.32;0.08;2499999;3.487790995116398;3.037178414871366;141;140;371018;97;2128884;0.14840725936290375;3.880001552000621e-05;0.8515539406215763;104;3378047;80;1784859;0.4506125802450321
0.32;0.09;2499999;3.487790995116398;3.0148612059444826;141;139;379569;100;2120330;0.1518276607310643;4.00000160000064e-05;0.8481323392529357;104;3378047;80;651335;0.4729297891719157
0.32;0.1;2499999;3.487790995116398;2.9971627988651197;141;139;382745;101;2117153;0.1530980612392245;4.0400016160006465e-05;0.8468615387446154;104;3378047;80;601727;0.4906281962512785
0.33;0.0;2499999;3.487790995116398;3.2026456810582724;141;141;330301;96;2169602;0.13212045284818114;3.8400015360006146e-05;0.8678411471364589;108;4941897;50;2633839;0.2851453140581256
0.33;0.01;2499999;3.487790995116398;3.1883444753377903;141;140;333916;96;2165987;0.13356645342658138;3.8400015360006146e-05;0.8663951465580586;108;4941897;75;2036783;0.2994465197786079
0.33;0.02;2499999;3.487790995116398;3.168814067525627;141;140;339328;95;2160576;0.1357312542925017;3.800001520000608e-05;0.8642307456922983;108;4941897;78;824347;0.318976927590771
0.33;0.03;2499999;3.487790995116398;3.145153658061463;141;140;346020;95;2153884;0.13840805536322215;3.800001520000608e-05;0.8615539446215779;107;4941897;78;824347;0.3426373370549348
0.33;0.04;2499999;3.487790995116398;3.12450964980386;141;140;351023;93;2148883;0.14040925616370248;3.720001488000595e-05;0.8595535438214176;107;4941897;80;4519375;0.36328134531253814
0.33;0.05;2499999;3.487790995116398;3.1044720417888167;141;140;355797;95;2144107;0.14231885692754276;3.800001520000608e-05;0.8576431430572572;107;4941897;80;2943135;0.3833189533275813
0.33;0.06;2499999;3.487790995116398;3.0850284340113734;141;140;360761;97;2139141;0.14430445772178307;3.880001552000621e-05;0.855656742262697;107;4941897;80;1784859;0.40276256110502445
0.33;0.07;2499999;3.487790995116398;3.0632624253049703;141;140;368600;99;2131300;0.14744005897602358;3.9600015840006336e-05;0.8525203410081365;104;3378047;80;1784859;0.42452856981142795
0.33;0.08;2499999;3.487790995116398;3.024956409982564;141;140;378835;101;2121063;0.15153406061362423;4.0400016160006465e-05;0.8484255393702157;104;3378047;80;651335;0.4628345851338341
0.33;0.09;2499999;3.487790995116398;3.004416001766401;141;139;382941;102;2116956;0.1531764612705845;4.0800016320006526e-05;0.8467827387130955;104;3378047;80;601727;0.48337499334999734
0.33;0.1;2499999;3.487790995116398;2.9849983939993576;141;139;386983;103;2112913;0.15479326191730478;4.1200016480006594e-05;0.8451655380662152;104;3378047;80;601727;0.5027926011170405
0.34;0.0;2499999;3.487790995116398;3.1968708787483515;141;141;332602;100;2167297;0.1330408532163413;4.00000160000064e-05;0.8669191467676587;108;4941897;50;2189311;0.29092011636804654
0.34;0.01;2499999;3.487790995116398;3.1823524729409893;141;140;336231;98;2163670;0.13449245379698152;3.9200015680006275e-05;0.8654683461873385;108;4941897;75;2036783;0.30543852217540884
0.34;0.02;2499999;3.487790995116398;3.162507665003066;141;140;341924;96;2157979;0.13676965470786187;3.8400015360006146e-05;0.8631919452767781;108;4941897;78;824347;0.32528333011333205
0.34;0.03;2499999;3.487790995116398;3.136561654624662;141;140;349481;97;2150421;0.13979245591698236;3.880001552000621e-05;0.8601687440674977;107;4941897;78;824347;0.3512293404917362
0.34;0.04;2499999;3.487790995116398;3.1153632461452982;141;140;355456;96;2144447;0.14218245687298275;3.8400015360006146e-05;0.8577791431116573;107;4941897;80;2943135;0.3724277489710996
0.34;0.05;2499999;3.487790995116398;3.0897140358856143;141;140;364588;98;2135313;0.14583525833410332;3.9200015680006275e-05;0.8541255416502167;107;4941897;80;2943135;0.3980769592307837
0.34;0.06;2499999;3.487790995116398;3.072889629155852;141;140;368554;101;2131344;0.14742165896866358;4.0400016160006465e-05;0.8525379410151764;107;4941897;80;1784859;0.4149013659605464
0.34;0.07;2499999;3.487790995116398;3.0407472162988864;141;140;376134;102;2123763;0.15045366018146408;4.0800016320006526e-05;0.8495055398022159;104;3378047;80;1784859;0.4470437788175115
0.34;0.08;2499999;3.487790995116398;3.013710805484322;141;140;382898;103;2116998;0.1531592612637045;4.1200016480006594e-05;0.8467995387198155;104;3378047;80;651335;0.4740801896320759
0.34;0.09;2499999;3.487790995116398;2.994384797753919;141;139;386530;106;2113363;0.15461206184482473;4.2400016960006784e-05;0.8453455381382152;104;3378047;80;601727;0.4934061973624789
0.34;0.1;2499999;3.487790995116398;2.974089589635836;141;139;391694;107;2108198;0.15667766267106506;4.2800017120006845e-05;0.8432795373118149;97;3378047;80;601727;0.5137014054805622
0.35;0.0;2499999;3.487790995116398;3.1914604765841905;141;140;334903;101;2164995;0.13396125358450142;4.0400016160006465e-05;0.8659983463993386;108;4941897;50;2189311;0.29633051853220743
0.35;0.01;2499999;3.487790995116398;3.174532869813148;141;140;339643;100;2160256;0.13585725434290175;4.00000160000064e-05;0.8641027456410982;108;4941897;75;2036783;0.31325812530325015
0.35;0.02;2499999;3.487790995116398;3.1530756612302646;141;140;346392;99;2153508;0.13855685542274218;3.9600015840006336e-05;0.8614035445614179;107;4941897;78;824347;0.33471533388613356
0.35;0.03;2499999;3.487790995116398;3.1231300492520195;141;140;358086;100;2141813;0.14323445729378292;4.00000160000064e-05;0.8567255426902171;107;4941897;78;824347;0.36466094586437836
0.35;0.04;2499999;3.487790995116398;3.1040248416099367;141;140;363269;101;2136629;0.14530765812306326;4.0400016160006465e-05;0.8546519418607768;107;4941897;80;2943135;0.3837661535064614
0.35;0.05;2499999;3.487790995116398;3.081727632691053;141;140;368286;101;2131612;0.14731445892578357;4.0400016160006465e-05;0.8526451410580564;107;4941897;80;2943135;0.40606336242534496
0.35;0.06;2499999;3.487790995116398;3.06168242467297;141;140;372744;103;2127152;0.14909765963906385;4.1200016480006594e-05;0.8508611403444561;104;3378047;80;1784859;0.4261085704434282
0.35;0.07;2499999;3.487790995116398;3.0271492108596845;141;140;380542;104;2119353;0.15221686088674435;4.1600016640006655e-05;0.8477415390966156;104;3378047;80;1784859;0.4606417842567137
0.35;0.08;2499999;3.487790995116398;3.0036280014512005;141;139;387418;107;2112474;0.1549672619869048;4.2800017120006845e-05;0.8449899379959752;104;3378047;80;651335;0.48416299366519744
0.35;0.09;2499999;3.487790995116398;2.9845563938225577;141;139;390990;108;2108901;0.15639606255842503;4.320001728000691e-05;0.8435607374242949;104;3378047;80;601727;0.5032346012938406
0.35;0.1;2499999;3.487790995116398;2.956238782495513;141;139;400800;111;2099088;0.16032006412802566;4.44000177600071e-05;0.8396355358542144;97;3378047;80;601727;0.531552212620885
0.36;0.0;2499999;3.487790995116398;3.182861273144509;141;140;339234;104;2160661;0.13569365427746172;4.1600016640006655e-05;0.8642647457058983;108;4941897;50;1822367;0.3049297219718888
0.36;0.01;2499999;3.487790995116398;3.1676896670758667;141;140;343041;103;2156855;0.13721645488658196;4.1200016480006594e-05;0.862742345096938;108;4941897;76;1571483;0.3201013280405312
0.36;0.02;2499999;3.487790995116398;3.1429328571731427;141;140;354080;104;2145815;0.14163205665282266;4.1600016640006655e-05;0.8583263433305374;107;4941897;78;824347;0.34485813794325515
0.36;0.03;2499999;3.487790995116398;3.1158396463358584;141;140;361851;103;2138045;0.14474045789618317;4.1200016480006594e-05;0.8552183420873368;107;4941897;78;824347;0.37195134878053954
0.36;0.04;2499999;3.487790995116398;3.0970676388270557;141;140;365723;104;2134172;0.1462892585157034;4.1600016640006655e-05;0.8536691414676566;107;4941897;80;2943135;0.3907233562893425
0.36;0.05;2499999;3.487790995116398;3.0735648294259317;141;140;371700;103;2128196;0.14868005947202378;4.1200016480006594e-05;0.8512787405114962;107;4941897;80;2943135;0.4142261656904663
0.36;0.06;2499999;3.487790995116398;3.0539480215792087;141;140;375539;107;2124353;0.15021566008626402;4.2800017120006845e-05;0.8497415398966159;104;3378047;80;1784859;0.4338429735371894
0.36;0.07;2499999;3.487790995116398;3.013871205548482;141;140;386617;108;2113274;0.15464686185874474;4.320001728000691e-05;0.8453099381239753;104;3378047;80;1784859;0.4739197895679158
0.36;0.08;2499999;3.487790995116398;2.985624794249918;141;139;396476;111;2103412;0.15859046343618538;4.44000177600071e-05;0.8413651365460546;104;3378047;80;651335;0.5021662008664803
0.36;0.09;2499999;3.487790995116398;2.9663327865331146;141;139;400116;113;2099770;0.1600464640185856;4.520001808000723e-05;0.8399083359633344;104;3378047;80;601727;0.5214582085832834
0.36;0.1;2499999;3.487790995116398;2.9405971762388705;141;139;405473;115;2094411;0.16218926487570595;4.600001840000736e-05;0.837764735105894;97;3378047;80;601727;0.5471938188775276
0.37;0.0;2499999;3.487790995116398;3.1732828693131476;141;140;346813;108;2153078;0.1387252554901022;4.320001728000691e-05;0.8612315444926179;108;4941897;55;3542887;0.3145081258032503
0.37;0.01;2499999;3.487790995116398;3.1568992627597052;141;140;350926;106;2148967;0.14037045614818247;4.2400016960006784e-05;0.8595871438348576;108;4941897;76;1571483;0.33089173235669295
0.37;0.02;2499999;3.487790995116398;3.135538854215542;141;140;356879;107;2143013;0.14275165710066284;4.2800017120006845e-05;0.8572055428822172;107;4941897;78;824347;0.3522521409008564
0.37;0.03;2499999;3.487790995116398;3.1081600432640175;141;140;365197;106;2134696;0.14607885843154336;4.2400016960006784e-05;0.8538787415514966;107;4941897;79;1784859;0.3796309518523807
0.37;0.04;2499999;3.487790995116398;3.087410034964014;141;140;369640;109;2130250;0.14785605914242367;4.3600017440006974e-05;0.8521003408401363;107;4941897;80;2943135;0.40038096015238406
0.37;0.05;2499999;3.487790995116398;3.06351522540609;141;140;376355;108;2123536;0.1505420602168241;4.320001728000691e-05;0.8494147397658959;107;4941897;80;2943135;0.4242757697103079
0.37;0.06;2499999;3.487790995116398;3.0346844138737654;141;140;386389;108;2113502;0.15455566182226474;4.320001728000691e-05;0.8454011381604553;104;3378047;80;1784859;0.4531065812426325
0.37;0.07;2499999;3.487790995116398;2.9965051986020796;141;140;395446;113;2104440;0.15817846327138532;4.520001808000723e-05;0.8417763367105346;104;3378047;80;1784859;0.4912857965143186
0.37;0.08;2499999;3.487790995116398;2.974757589903036;141;139;399582;115;2100302;0.15983286393314558;4.600001840000736e-05;0.8401211360484544;104;3378047;80;601727;0.513033405213362
0.37;0.09;2499999;3.487790995116398;2.9536059814423927;141;139;403347;116;2096536;0.1613388645355458;4.640001856000742e-05;0.8386147354458942;104;3378047;80;601727;0.5341850136740055
0.37;0.1;2499999;3.487790995116398;2.932416372966549;141;139;407597;118;2092284;0.16303886521554609;4.720001888000755e-05;0.8369139347655739;97;3378047;80;601727;0.5553746221498489
0.38;0.0;2499999;3.487790995116398;3.1671376668550666;141;140;349308;110;2150581;0.13972325588930234;4.400001760000704e-05;0.8602327440930977;108;4941897;55;3542887;0.3206533282613313
0.38;0.01;2499999;3.487790995116398;3.150400060160024;141;140;354164;108;2145727;0.14166565666626266;4.320001728000691e-05;0.8582911433164573;107;4941897;76;1571483;0.33739093495637396
0.38;0.02;2499999;3.487790995116398;3.1285912514365006;141;140;360165;112;2139722;0.14406605762642305;4.480001792000717e-05;0.8558891423556569;107;4941897;78;824347;0.3591997436798975
0.38;0.03;2499999;3.487790995116398;3.099323239729296;141;140;369619;110;2130270;0.14784765913906364;4.400001760000704e-05;0.8521083408433363;107;4941897;79;1784859;0.38846775538710215
0.38;0.04;2499999;3.487790995116398;3.068876427550571;141;140;380749;110;2119140;0.15229966091986435;4.400001760000704e-05;0.8476563390625357;107;4941897;80;2943135;0.418914567565827
0.38;0.05;2499999;3.487790995116398;3.0468624187449675;141;140;384996;113;2114890;0.15399846159938463;4.520001808000723e-05;0.8459563383825354;107;4941897;80;2943135;0.44092857637143057
0.38;0.06;2499999;3.487790995116398;3.0273488109395243;141;140;388648;115;2111236;0.15545926218370487;4.600001840000736e-05;0.8444947377978951;104;3378047;80;1784859;0.46044218417687366
0.38;0.07;2499999;3.487790995116398;2.9849903939961577;141;139;399143;115;2100741;0.15965726386290555;4.600001840000736e-05;0.8402967361186945;104;3378047;80;651335;0.5028006011202405
0.38;0.08;2499999;3.487790995116398;2.9651731860692743;141;139;402423;116;2097460;0.16096926438770576;4.640001856000742e-05;0.8389843355937342;104;3378047;80;601727;0.5226178090471236
0.38;0.09;2499999;3.487790995116398;2.944716777886711;141;139;406042;118;2093839;0.16241686496674598;4.720001888000755e-05;0.837535935014374;104;3378047;80;601727;0.5430742172296869
0.38;0.1;2499999;3.487790995116398;2.9226535690614277;141;139;410280;119;2089600;0.16411206564482625;4.760001904000761e-05;0.8358403343361337;97;3378047;80;601727;0.5651374260549704
0.39;0.0;2499999;3.487790995116398;3.1610832644333056;141;140;352134;113;2147752;0.14085365634146255;4.520001808000723e-05;0.8591011436404574;108;4941897;55;3542887;0.3267077306830923
0.39;0.01;2499999;3.487790995116398;3.1421120568448226;141;140;358667;112;2141220;0.14346685738674295;4.480001792000717e-05;0.856488342595337;107;4941897;76;1571483;0.3456789382715753
0.39;0.02;2499999;3.487790995116398;3.1175640470256187;141;140;365469;113;2134417;0.1461876584750634;4.520001808000723e-05;0.8537671415068566;107;4941897;78;824347;0.3702269480907792
0.39;0.03;2499999;3.487790995116398;3.081860432744173;141;140;378689;115;2121195;0.15147566059026424;4.600001840000736e-05;0.8484783393913358;107;4941897;79;1784859;0.40593056237222497
0.39;0.04;2499999;3.487790995116398;3.06164562465825;141;140;382844;115;2117040;0.1531376612550645;4.600001840000736e-05;0.8468163387265355;107;4941897;80;2943135;0.4261453704581482
0.39;0.05;2499999;3.487790995116398;3.0394152157660863;141;140;387866;116;2112017;0.15514646205858482;4.640001856000742e-05;0.8448071379228552;104;3378047;80;1784859;0.44837577935031175
0.39;0.06;2499999;3.487790995116398;3.005060002024001;141;140;395184;116;2104699;0.15807366322946528;4.640001856000742e-05;0.8418799367519747;104;3378047;80;1784859;0.48273099309239725
0.39;0.07;2499999;3.487790995116398;2.976228390491356;141;139;401832;118;2098049;0.1607328642931457;4.720001888000755e-05;0.8392199356879743;104;3378047;80;651335;0.5115626046250419
0.39;0.08;2499999;3.487790995116398;2.955546382218553;141;139;405378;118;2094503;0.16215126486050593;4.720001888000755e-05;0.8378015351206141;104;3378047;80;601727;0.5322446128978452
0.39;0.09;2499999;3.487790995116398;2.9097507639003055;141;139;441579;120;2058300;0.17663167065266827;4.800001920000768e-05;0.8233203293281317;98;3082295;80;601727;0.5780402312160925
0.39;0.1;2499999;3.487790995116398;2.893426757370703;141;139;444391;123;2055485;0.17775647110258844;4.920001968000787e-05;0.8221943288777316;131;3002707;80;601727;0.5943642377456951
0.4;0.0;2499999;3.487790995116398;3.1524252609701042;141;140;356839;116;2143044;0.14273565709426284;4.640001856000742e-05;0.8572179428871771;107;4941897;55;3542887;0.33536573414629367
0.4;0.01;2499999;3.487790995116398;3.12584005033602;141;140;367508;113;2132378;0.14700325880130352;4.520001808000723e-05;0.8529515411806164;107;4941897;76;1571483;0.3619509447803779
0.4;0.02;2499999;3.487790995116398;3.099519639807856;141;140;375033;118;2124848;0.150013260005304;4.720001888000755e-05;0.849939539975816;107;4941897;78;824347;0.3882713553085421
0.4;0.03;2499999;3.487790995116398;3.075176030070412;141;140;381013;119;2118867;0.15240526096210438;4.760001904000761e-05;0.8475471390188556;107;4941897;79;1784859;0.412614965045986
0.4;0.04;2499999;3.487790995116398;3.0529192211676883;141;140;386035;118;2113846;0.1544140617656247;4.720001888000755e-05;0.8455387382154953;107;4941897;80;2943135;0.4348717739487096
0.4;0.05;2499999;3.487790995116398;3.0294108117643246;141;140;390621;118;2109260;0.156248462499385;4.720001888000755e-05;0.843704337481735;104;3378047;80;1784859;0.45838018335207337
0.4;0.06;2499999;3.487790995116398;2.9917487966995187;141;140;398824;118;2101057;0.15952966381186554;4.720001888000755e-05;0.8404231361692545;104;3378047;80;1784859;0.49604219841687935
0.4;0.07;2499999;3.487790995116398;2.9673571869428748;141;139;403815;119;2096065;0.16152606461042585;4.760001904000761e-05;0.8384263353705341;104;3378047;80;651335;0.5204338081735232
0.4;0.08;2499999;3.487790995116398;2.9278187711275083;141;139;438524;121;2061354;0.17540967016386808;4.840001936000774e-05;0.8245419298167719;104;3378047;80;601727;0.5599722239888896
0.4;0.09;2499999;3.487790995116398;2.900599560239824;141;140;443782;123;2056094;0.1775128710051484;4.920001968000787e-05;0.8224379289751715;138;3002707;80;601727;0.587191434876574
0.4;0.1;2499999;3.487790995116398;2.8843251537300616;141;139;446608;125;2053266;0.17864327145730857;5.0000020000008e-05;0.8213067285226914;131;3002707;80;601727;0.6034658413863365
