start;log_step;log_value;h_step;h_value;loss;initial_dmax;initial_dmax_step;initial_cmax;initial_cmax_step;initial_max_single_v2;initial_max_single_v2_step;dmax_at_log_step;dmax_step_at_log_step;dmax_delta_at_log_step;cmax_at_log_step;cmax_step_at_log_step;cmax_delta_at_log_step;max_single_v2_at_log_step;max_single_v2_step_at_log_step;log_delta_at_log_step;h_delta_at_log_step;local_debt_at_log_step;max_value;max_value_step;max_ratio;avg_v2_until_h;ratio_1_until_h;max_run_1_until_h;count_1_until_h;count_2_until_h;count_3_until_h;count_4_plus_until_h;prefix_120_v2
1583007;13;1203455;32;651335;19;5.797000057692486;80;1.2811999769230056;32;5;69;6.777450049038606;68;0.98044999134612;0.8857124862980328;19;-0.3954874906249728;6;77;-0.27412961627382515;0.03582488075500974;-0.3954874906249728;39036005;25;24.659401379779116;1.625;0.65625;7;21;4;5;2;1,1,1,1,2,1,3,2,2,1,2,1,3,1,1,1,1,1,1,1,3,1,1,1,1,4,1,3,1,1,4,3
3058923;3;2580967;22;1396873;19;6.797000057692486;80;1.5458624834134085;23;5;53;8.212037556971325;79;1.4150374992788386;1.3007499855768785;20;-0.24511249783653;5;50;-0.16989875831446355;0.26441699138264924;-0.24511249783653177;23545637;17;7.697361783869682;1.6363636363636365;0.5909090909090909;2;13;6;1;2;1,2,2,1,1,2,1,1,3,1,1,2,1,1,2,1,1,4,1,1,4,2
3963487;5;3762217;21;1206631;16;2.4736875252404644;35;3.601499971153757;40;6;40;3.2120375569713246;79;0.7383500317308602;3.5263124747595356;35;-0.0751874963942214;6;35;-0.05211578206104939;0.17239672731397754;-0.07518749639421962;20065157;4;5.062501024981286;1.6666666666666667;0.5238095238095238;4;11;8;0;2;1,1,1,1,4,2,1,1,1,1,2,2,2,1,2,2,1,2,1,4,2
4458923;3;3762217;19;1206631;16;2.3037625237981487;33;3.7714249725960656;38;6;38;3.2120375569713246;79;0.9082750331731759;3.5263124747595356;35;-0.24511249783653;6;35;-0.16989884575110814;0.11238816411430584;-0.24511249783653177;14284673;8;3.203615088217491;1.6842105263157894;0.42105263157894735;4;8;10;0;1;1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,4,2
2134427;8;1709471;20;1732795;12;6.797000057692486;80;2.62104997980763;28;6;20;8.287225053365546;74;1.49022499567306;2.3007499855768785;20;-0.3202999942307514;7;79;-0.22201426065543473;0.2378652378157133;-0.3202999942307514;36966293;19;17.31907111369937;1.6;0.7;4;14;3;2;1;1,2,1,1,1,3,1,3,1,1,1,1,2,1,2,1,1,1,1,6
2529691;11;1709471;23;1732795;12;5.607525047596297;66;2.86616247764416;31;6;23;8.287225053365546;74;2.6797000057692486;2.3007499855768785;20;-0.5654124920672814;7;79;-0.3919131949643049;0.4346133064491609;-0.5654124920672814;36966293;22;14.612967749816084;1.608695652173913;0.6956521739130435;4;16;3;3;1;1,2,1,1,1,3,1,1,3,1,3,1,1,1,1,2,1,2,1,1,1,1,6
2845903;9;1709471;21;1732795;12;5.797000057692486;80;3.0360874790864756;29;6;21;8.287225053365546;74;2.49022499567306;2.3007499855768785;20;-0.7353374935095971;7;79;-0.5096964502346637;0.2667845482076382;-0.7353374935095953;36966293;20;12.989301813870677;1.619047619047619;0.7142857142857143;4;15;2;3;1;1,1,1,3,1,1,3,1,3,1,1,1,1,2,1,2,1,1,1,1,6
3012715;3;2541979;13;1145183;10;4.813537528125089;39;2.4706749870191906;18;5;13;6.212037556971325;79;1.398500028846236;2.225562489182657;15;-0.24511249783653355;5;10;-0.16989875404321886;0.25945575452411324;-0.24511249783653177;12215285;12;4.054577017739812;1.6923076923076923;0.6153846153846154;3;8;3;1;1;1,2,2,1,2,1,1,1,3,1,1,1,5
3199593;1;2399695;10;360361;9;8.797000057692486;80;3.5654124920672814;11;4;10;9.797000057692486;80;1.0;3.1503749927884392;10;-0.41503749927884215;4;9;-0.287681968271869;0.028919531699284694;-0.4150374992788439;8098973;4;2.531251005987324;1.9;0.5;3;5;2;2;1;2,1,1,1,3,1,2,1,3,4
4799401;1;3599551;10;1081085;9;8.797000057692486;80;3.5654124920672814;11;5;10;9.797000057692486;80;1.0;3.1503749927884392;10;-0.41503749927884215;5;9;-0.28768200299867175;0.028919496972481928;-0.4150374992788439;27334097;6;5.695314269426539;1.8;0.6;5;6;2;1;1;2,1,1,1,1,1,2,3,1,5
1316091;8;1054063;14;750403;6;2.797000057692486;80;4.86616247764416;31;4;8;3.702262552644399;73;0.9052624949519128;4.5458624834134085;23;-0.3202999942307514;6;74;-0.22201375881972574;0.06237698943507816;-0.3202999942307514;5621669;7;4.271489585446599;1.6428571428571428;0.6428571428571429;3;9;3;0;2;1,2,1,2,1,1,1,4,1,1,1,2,1,4
3201641;1;2401231;7;1709471;6;6.797000057692486;80;3.206012480528784;27;6;19;7.797000057692486;80;1.0;2.7909749812499456;26;-0.4150374992788386;6;18;-0.2876819683385108;0.02891953163264275;-0.4150374992788439;8104157;4;2.531251005343822;1.7142857142857142;0.5714285714285714;3;4;1;2;0;2,1,1,1,3,1,3
4016943;6;2859719;11;678625;5;4.398500028846243;40;3.395487490624973;13;5;41;6.042112555529016;77;1.643612526682773;2.9052624949519075;7;-0.4902249956730653;6;79;-0.33979779732617743;0.17289496050557707;-0.49022499567306355;13557185;3;3.375000591245631;1.8181818181818181;0.45454545454545453;3;5;4;1;1;1,1,1,2,2,3,1,1,2,2,4
4268855;3;3601847;8;1709471;5;5.797000057692486;80;3.62104997980763;28;6;20;7.212037556971325;79;1.4150374992788386;3.3759374819711;25;-0.24511249783653;6;17;-0.16989887194940323;0.26441687774770956;-0.24511249783653177;9604925;2;2.2500002928185663;1.75;0.625;2;5;0;3;0;1,1,3,1,1,3,1,3
4239983;10;3820295;14;2417531;4;5.797000057692486;80;0.8857124862980328;19;5;50;6.702262552644399;73;0.9052624949519128;0.7353374935095953;9;-0.15037499278843747;6;74;-0.10423161503419998;0.17336213316291135;-0.15037499278843924;16098689;5;3.7968758365304764;1.6428571428571428;0.5;3;7;5;2;0;1,1,1,2,1,2,2,2,1,3,1,1,2,3
1824335;5;865847;8;730559;3;10.797000057692486;80;1.3202999942307514;8;5;70;13.212037556971325;79;2.4150374992788386;0.24511249783653177;3;-1.0751874963942196;5;65;-0.7452625974623412;0.022256152177079096;-1.0751874963942196;6157133;3;3.3750013018442337;1.75;0.625;3;5;0;3;0;1,1,1,3,3,1,1,3
3947391;25;3041879;28;1283293;3;4.114287513701967;19;5.827062460336421;55;4;12;6.02256254687515;65;1.908275033173183;5.451124978365314;30;-0.375937481971107;4;3;-0.2605794377703692;0.32694057146043004;-0.3759374819710999;68365073;19;17.31905276168487;1.6428571428571428;0.6428571428571429;6;18;4;4;2;1,1,1,1,1,1,3,1,1,2,1,4,1,1,1,1,1,2,1,2,3,3,1,2,3,1,1,4
4440815;23;3041879;26;1283293;3;3.9443625122596515;17;5.99698746177873;53;4;10;6.02256254687515;65;2.0782000346154987;5.451124978365314;30;-0.5458624834134156;4;3;-0.3783625015747383;0.26693200814644796;-0.5458624834134085;68365073;17;15.394713132611919;1.6538461538461537;0.6153846153846154;5;16;5;3;2;1,1,1,2,1,1,1,2,1,4,1,1,1,1,1,2,1,2,3,3,1,2,3,1,1,4
4679479;3;3948311;6;832847;3;1.1699250014423122;2;6.696237476201851;33;8;29;1.797000057692486;80;0.6270750562501739;6.451124978365314;30;-0.2451124978365371;8;26;-0.1698988864146287;0.028028130373884953;-0.24511249783653177;10528829;2;2.2500002671237547;2.0;0.6666666666666666;2;4;0;1;1;1,1,3,1,1,5
4899807;10;4414807;13;1862497;3;7.287225053365546;74;2.225562489182657;15;5;45;7.702262552644399;73;0.4150374992788528;2.0751874963942196;5;-0.15037499278843747;5;35;-0.10423169809463495;0.026294551400558388;-0.15037499278843924;24805277;4;5.062500829114289;1.6923076923076923;0.6923076923076923;4;9;1;1;2;1,1,1,1,3,1,2,1,1,4,1,1,4
2052377;1;1539283;3;865847;2;10.797000057692486;80;1.4902249956730635;6;5;68;11.797000057692486;80;1.0;1.0751874963942196;5;-0.4150374992788439;5;67;-0.2876819100384882;0.028919589932665548;-0.4150374992788439;2308925;2;1.1250004263349278;2.0;0.3333333333333333;1;1;1;1;0;2,1,3
2162171;6;1539281;8;432923;2;10.532337551202076;71;2.3202999942307514;8;5;73;11.797000057692486;80;1.26466250649041;1.8300749985576878;2;-0.49022499567306355;5;67;-0.3397973852365066;0.05921036653753892;-0.49022499567306355;4104749;5;1.8984386526320074;1.875;0.375;1;3;3;2;0;1,2,1,2,1,3,2,3
3869111;3;3264563;5;1836317;2;2.797000057692486;80;5.99698746177873;53;4;46;3.6270750562501775;78;0.8300749985576914;5.7518749639422;50;-0.24511249783653;7;79;-0.16989885491805268;0.08892814456271593;-0.24511249783653177;8705501;2;2.250000323071631;1.8;0.6;2;3;0;2;0;1,1,3,1,3
3919195;6;2790131;8;1569449;2;6.212037556971325;79;4.016537470432596;41;6;33;8.212037556971325;79;2.0;3.5263124747595356;35;-0.49022499567306;6;27;-0.33979772743483316;0.2798112723920892;-0.49022499567306355;9920465;4;2.5312506777539774;1.75;0.5;2;4;2;2;0;1,2,1,1,2,3,1,3
4409095;4;2790131;6;1569449;2;6.042112555529016;77;4.186462471874911;39;6;31;8.212037556971325;79;2.1699250014423086;3.5263124747595356;35;-0.6601499971153757;6;27;-0.4575809048436721;0.21980259547363548;-0.6601499971153757;9920465;2;2.2500002835048916;1.8333333333333333;0.5;2;3;1;2;0;1,1,2,3,1,3
4893465;1;3670099;3;2064431;2;3.8135375281250887;39;4.336837464663347;49;6;41;4.797000057692486;80;0.9834625295673973;3.9217999653845084;48;-0.4150374992788386;6;40;-0.2876820043337247;0.023958254507648026;-0.4150374992788439;5505149;2;1.1250001788099027;2.0;0.3333333333333333;1;1;1;1;0;2,1,3
658049;1;493537;2;370153;1;3.797000057692486;80;3.86616247764416;31;8;27;4.797000057692486;80;1.0;3.451124978365314;30;-0.4150374992788457;8;26;-0.28768156590401794;0.028919934067135875;-0.4150374992788439;658049;0;1.0;2.0;0.0;0;0;2;0;0;2,2
1441447;8;1154461;9;432923;1;11.117300051923237;72;1.7353374935095953;9;5;74;12.797000057692486;80;1.6797000057692486;1.415037499278844;1;-0.3202999942307514;5;66;-0.22201390177974467;0.29470809972025996;-0.3202999942307514;4104749;6;2.8476586374663793;1.7777777777777777;0.4444444444444444;2;4;3;2;0;1,1,2,1,2,1,3,2,3
1539281;1;1154461;2;432923;1;11.797000057692486;80;1.8300749985576878;2;5;67;12.797000057692486;80;1.0;1.415037499278844;1;-0.4150374992788439;5;66;-0.2876818559004839;0.02891964407066985;-0.4150374992788439;1539281;0;1.0;2.5;0.0;0;0;1;1;0;2,3
1754395;30;1283293;31;481235;1;5.284212515144276;21;4.657137458894098;57;4;14;7.26767504471168;62;1.9834625295674044;4.206012480528784;27;-0.4511249783653142;6;78;-0.3126946375740136;0.3003891204308202;-0.4511249783653142;68365073;21;38.967890925361736;1.6451612903225807;0.6129032258064516;5;19;6;4;2;1,2,1,1,1,1,1,2,1,1,1,2,1,4,1,1,1,1,1,2,1,2,3,3,1,2,3,1,1,4,3
1973695;28;1283293;29;481235;1;5.114287513701967;19;4.827062460336421;55;4;12;7.26767504471168;62;2.153387531009713;4.206012480528784;27;-0.621049979807637;6;78;-0.4304779898953832;0.2403802685998361;-0.6210499798076299;68365073;19;34.6381142983085;1.6551724137931034;0.6206896551724138;5;18;5;4;2;1,1,1,1,1,2,1,1,1,2,1,4,1,1,1,1,1,2,1,2,3,3,1,2,3,1,1,4,3
2399695;8;1921925;9;360361;1;9.797000057692486;80;3.1503749927884392;10;4;9;10.702262552644399;73;0.9052624949519128;2.830074998557688;2;-0.3202999942307514;5;75;-0.22201435801030556;0.06237639024449834;-0.3202999942307514;8098973;3;3.375000989709109;1.8888888888888888;0.5555555555555556;3;5;1;2;1;1,1,1,3,1,2,1,3,4
2632183;3;2220905;4;1665679;1;1.797000057692486;80;5.86616247764416;31;4;8;2.6270750562501775;78;0.8300749985576914;5.62104997980763;28;-0.24511249783653;6;79;-0.16989876944939297;0.08892823003137564;-0.24511249783653177;5922413;2;2.2500004748909936;1.75;0.5;2;2;1;1;0;1,1,3,2
2736503;3;2308925;4;865847;1;10.212037556971325;79;1.9052624949519075;7;5;69;11.797000057692486;80;1.5849625007211614;1.6601499971153757;4;-0.24511249783653177;5;66;-0.16989877964106093;0.31539447048874875;-0.24511249783653177;6157133;2;2.250000456787367;2.0;0.5;2;2;0;2;0;1,1,3,3
2814235;10;2535673;11;1901755;1;4.947375050480929;70;2.111274975480697;34;5;71;5.702262552644399;73;0.75488750216347;1.9608999826922542;24;-0.1503749927884428;5;61;-0.1042313811782698;0.1282498691823089;-0.15037499278843924;24041933;7;8.542972779458717;1.6363636363636365;0.5454545454545454;5;6;3;2;0;1,2,1,1,1,1,1,3,3,2,2
2821663;14;1608841;15;1206631;1;3.797000057692486;80;3.111274975480697;34;6;34;5.777450049038606;68;1.98044999134612;2.3007499855768785;20;-0.8105249899038185;6;20;-0.5618123834627564;0.06474361353723235;-0.8105249899038149;14284673;4;5.062501439753791;1.6666666666666667;0.4666666666666667;4;7;7;0;1;1,1,1,1,2,2,2,1,2,2,1,2,1,4,2
2960543;27;1283293;28;481235;1;4.529325012980809;18;5.412024961057568;54;4;11;7.26767504471168;62;2.738350031730871;4.206012480528784;27;-1.2060124805287842;6;78;-0.8359432668914994;0.03380224184891312;-1.2060124805287842;68365073;18;23.09207229889922;1.6785714285714286;0.6071428571428571;5;17;5;4;2;1,1,1,1,2,1,1,1,2,1,4,1,1,1,1,1,2,1,2,3,3,1,2,3,1,1,4,3
3119623;4;1974137;5;1480603;1;1.1699250014423122;2;6.111274975480697;34;4;11;2.797000057692486;80;1.627075056250174;5.451124978365314;30;-0.6601499971153828;4;7;-0.4575808203550782;0.05694769640458927;-0.6601499971153757;7019153;2;2.250000400689442;1.8;0.4;2;2;2;1;0;1,1,2,3,2
3166015;8;2535673;9;1901755;1;4.797000057692486;80;2.2811999769230056;32;5;69;5.702262552644399;73;0.9052624949519128;1.9608999826922542;24;-0.3202999942307514;5;61;-0.2220146142437187;0.06237613401108519;-0.3202999942307514;24041933;5;7.593752082665433;1.6666666666666667;0.5555555555555556;5;5;2;2;0;1,1,1,1,1,3,3,2,2
3509627;5;3331405;6;1249277;1;1.774437510817343;15;6.281199976923006;32;5;28;2.042112555529016;77;0.26767504471167314;6.206012480528784;27;-0.0751874963942214;6;78;-0.05211562709443385;0.03119438617483694;-0.07518749639421962;5922497;3;1.6875004095876855;1.8333333333333333;0.3333333333333333;1;2;3;1;0;1,2,1,2,2,3
3946923;3;3330217;4;2497663;1;4.529325012980809;18;0.7714249725960656;38;5;33;5.212037556971325;79;0.6827125439905153;0.5263124747595356;35;-0.24511249783653;5;30;-0.16989882096859787;0.04471944214201791;-0.24511249783653177;5920385;1;1.5000001266809613;1.75;0.25;1;1;3;0;0;1,2,2,2
4010209;1;3007657;2;2255743;1;10.797000057692486;80;0.8300749985576878;2;4;35;11.797000057692486;80;1.0;0.4150374992788439;1;-0.4150374992788439;4;34;-0.2876819893305971;0.02891951064055667;-0.4150374992788439;4010209;0;1.0;2.0;0.0;0;0;2;0;0;2,2
4104753;1;3078565;2;577231;1;9.797000057692486;80;2.830074998557688;2;5;68;10.797000057692486;80;1.0;2.415037499278844;1;-0.4150374992788439;5;67;-0.28768199124511185;0.0289195087260419;-0.4150374992788439;4104753;0;1.0;3.0;0.0;0;0;1;0;1;2,4
4104755;2;2308925;3;865847;1;9.797000057692486;80;2.4902249956730635;6;5;68;11.797000057692486;80;2.0;1.6601499971153757;4;-0.8300749985576878;5;66;-0.5753640095591823;0.05783899038312517;-0.8300749985576878;6157133;1;1.5000001218099497;2.3333333333333335;0.3333333333333333;1;1;0;2;0;1,3,3
4115583;15;3519901;16;1319963;1;4.398500028846243;40;1.6405999884615028;16;4;14;5.702262552644399;73;1.3037625237981558;1.415037499278844;1;-0.22556248918265887;4;14;-0.1563476366715566;0.24380362003519648;-0.2255624891826571;59331329;10;14.416263503858383;1.6875;0.5;6;8;6;1;1;1,1,1,1,1,1,2,2,1,1,2,2,2,4,2,3
4519073;1;3389305;2;2541979;1;4.797000057692486;80;3.0556374877403485;17;5;12;5.797000057692486;80;1.0;2.640599988461503;16;-0.4150374992788457;5;11;-0.28768199869034383;0.028919501280809987;-0.4150374992788439;4519073;0;1.0;2.0;0.0;0;0;2;0;0;2,2
4588385;1;3441289;2;2580967;1;6.797000057692486;80;2.130824984134563;22;5;52;7.797000057692486;80;1.0;1.7157874848557242;21;-0.4150374992788386;5;51;-0.2876819998045814;0.02891950016657211;-0.4150374992788439;4588385;0;1.0;2.0;0.0;0;0;2;0;0;2,2
4679467;3;3948301;4;1480613;1;0.5849625007211561;1;6.696237476201851;33;8;29;1.797000057692486;80;1.21203755697133;6.451124978365314;30;-0.2451124978365371;8;26;-0.16989885475505417;0.20351691224980628;-0.24511249783653177;7019201;1;1.500000106849776;2.0;0.25;1;1;2;1;0;1,2,2,3
4685103;22;4278949;23;802303;1;4.212037556971325;79;2.846612468990287;43;5;80;4.947375050480929;70;0.7353374935096042;2.715787484855724;21;-0.13082498413456278;6;79;-0.09068048181635113;0.13515376560191264;-0.13082498413456278;85482449;14;18.24558584944664;1.6956521739130435;0.5652173913043478;5;13;6;2;2;1,1,1,2,2,2,1,1,1,1,1,2,1,1,2,3,1,3,1,1,2,4,4
4752839;5;4511485;6;1691807;1;10.532337551202076;71;1.4902249956730635;6;4;38;11.212037556971325;79;0.6797000057692486;1.415037499278844;1;-0.07518749639421962;4;33;-0.05211575610464436;0.154801745481899;-0.07518749639421962;10693889;2;2.2500002630007034;1.8333333333333333;0.3333333333333333;2;2;3;1;0;1,1,2,2,2,3
4799403;3;4049497;4;3037123;1;8.797000057692486;80;2.715787484855724;21;4;6;9.627075056250177;78;0.8300749985576914;2.4706749870191906;18;-0.24511249783653355;5;80;-0.169898859304201;0.08892814017656774;-0.24511249783653177;7199105;1;1.500000104179624;1.75;0.25;1;1;3;0;0;1,2,2,2
